Virus,No Photostim,Photostim
ChR2,41.3366336633663,92.4528301886792
ChR2,37.037037037037,100
ChR2,21.8225419664269,83.3333333333333
eYFP,7.12468193384224,3.50877192982456
eYFP,20.8651399491094,19.2982456140351
ChR2,32.1951219512195,95.7446808510638
ChR2,66.6666666666667,80.4878048780488
ChR2,37.9396984924623,91.8367346938776
eYFP,75.0617283950617,77.3584905660377
ChR2,40.4938271604938,95.4545454545455
eYFP,52.9976019184652,60
eYFP,25.1231527093596,17.3076923076923
eYFP,25.3101736972705,22.4137931034483
ChR2,96.2121212121212,98.3050847457627
ChR2,31.7733990147783,23.4042553191489
ChR2,29.8765432098765,34.5454545454545
ChR2,87.3762376237624,100
ChR2,70.9046454767726,91.6666666666667
ChR2,13.5678391959799,7.57575757575758
eYFP,37.0646766169154,21.4285714285714
ChR2,8.23244552058111,76
eYFP,10.0250626566416,7.54716981132075
ChR2,87.75,100
ChR2,72.3039215686274,94.2307692307692
ChR2,89.4736842105263,93.8775510204082
eYFP,76.6331658291457,72.7272727272727
eYFP,70.1711491442543,73.9130434782609
eYFP,3.74064837905237,3.50877192982456
