Virus,Pulse0,Pulse1,Pulse2,Pulse10
ChR2,33.9622641509434,72.7272727272727,60,93.1034482758621
ChR2,12.962962962963,12.1212121212121,23.2558139534884,31.8181818181818
eYFP,31.1111111111111,32.3529411764706,44.1176470588235,38.8888888888889
ChR2,9.43396226415094,25,28.2051282051282,41.3793103448276
eYFP,57.7777777777778,55.5555555555556,70.5882352941177,50
eYFP,30.6122448979592,17.1428571428571,25.7142857142857,16.1290322580645
eYFP,21.1538461538462,3.33333333333333,14.7058823529412,14.2857142857143
ChR2,25.4901960784314,46.6666666666667,36.6666666666667,39.3939393939394
eYFP,24.390243902439,31.4285714285714,22.7272727272727,43.1818181818182
ChR2,43.3962264150943,65.5172413793103,88.4615384615385,100
eYFP,41.304347826087,51.7241379310345,44.1176470588235,39.3939393939394
ChR2,62.5,96.6666666666667,100,100
ChR2,47.9166666666667,47.0588235294118,73.0769230769231,92.8571428571429
ChR2,78.7234042553192,79.4117647058823,86.1111111111111,88.8888888888889
ChR2,42.5925925925926,63.6363636363636,88.4615384615385,97.0588235294118
ChR2,71.6981132075472,91.6666666666667,76,100
ChR2,72.2222222222222,77.2727272727273,76.1904761904762,80
eYFP,22.9166666666667,22.5806451612903,27.7777777777778,18.75
ChR2,65.3061224489796,72.4137931034483,91.8918918918919,100
ChR2,74.5098039215686,82.6086956521739,75.8620689655172,92.1052631578947
ChR2,10.8695652173913,31.7073170731707,53.3333333333333,75.609756097561
ChR2,75.4716981132076,82.3529411764706,67.741935483871,84.2105263157895
ChR2,87.2727272727273,94.2857142857143,90.625,100
eYFP,23.5294117647059,14.2857142857143,13.7931034482759,14.7058823529412
eYFP,61.9047619047619,60,55.5555555555556,54.2857142857143
ChR2,36,57.6923076923077,72.7272727272727,84
ChR2,60.8695652173913,82.7586206896552,78.7878787878788,97.6744186046512
ChR2,84.4444444444444,92.3076923076923,91.6666666666667,97.0588235294118
eYFP,58.5365853658537,48.4848484848485,60.5263157894737,45.4545454545455
eYFP,71.1111111111111,76.6666666666667,67.741935483871,82.6086956521739
