Virus,Pulse0,Pulse1,Pulse2,Pulse10
ChR2,703.5,413.5,523,451
ChR2,790,1476,504,535
eYFP,805.5,587,1835,1132
ChR2,2101,259,382,481.5
eYFP,718,1049.5,1057,1341.5
eYFP,1035,1629,1193,2263
eYFP,1526,47,900,1177
ChR2,1278,2014,1775,1761
eYFP,934,1543,2063,1323
ChR2,1358,341,290,355
eYFP,748,804,602,1044
ChR2,1156,291,241,283.5
ChR2,1317.5,627,480,454
ChR2,1241,591,494,436
ChR2,1052,460,447,386
ChR2,598.5,722,579,404
ChR2,676,1030,1238.5,678
eYFP,2011,751,1261.5,317
ChR2,999.5,351,284.5,362.5
ChR2,725.5,485,321,419
ChR2,1334,251,461.5,493
ChR2,799,702.5,842,362.5
ChR2,848,298,275,305
eYFP,1352.5,1146.5,1330.5,952
eYFP,876.5,1270,1462,564
ChR2,740,458,371.5,395
ChR2,1028.5,392,333.5,408
ChR2,777,448.5,263,455
eYFP,1554.5,1461.5,1475,1497
eYFP,922.5,740,842,924
