AnimalID,Virus,Session,Stim,Resp
4770,ChR2,Saline,Tone,0.911764705882353
4770,ChR2,Scop0.3,Tone,0.754901960784314
4770,ChR2,Scop1,Tone,0.448979591836735
4770,ChR2,Mec1,Tone,0.98989898989899
4770,ChR2,Saline,Laser,1
4770,ChR2,Scop0.3,Laser,0.32183908045977
4770,ChR2,Scop1,Laser,0.343137254901961
4770,ChR2,Mec1,Laser,1
4770,ChR2,Saline,Catch,0.444444444444444
4770,ChR2,Scop0.3,Catch,0.138461538461538
4770,ChR2,Scop1,Catch,0.363636363636364
4770,ChR2,Mec1,Catch,0.341463414634146
4774,ChR2,Saline,Tone,0.904255319148936
4774,ChR2,Scop0.3,Tone,0.592592592592593
4774,ChR2,Scop1,Tone,0.301075268817204
4774,ChR2,Mec1,Tone,0.741935483870968
4774,ChR2,Saline,Laser,0.796296296296296
4774,ChR2,Scop0.3,Laser,0.21875
4774,ChR2,Scop1,Laser,0.337078651685393
4774,ChR2,Mec1,Laser,0.752577319587629
4774,ChR2,Saline,Catch,0.196078431372549
4774,ChR2,Scop0.3,Catch,0.28
4774,ChR2,Scop1,Catch,0.464285714285714
4774,ChR2,Mec1,Catch,0.183333333333333
4775,eYFP,Saline,Tone,0.978260869565217
4775,eYFP,Scop0.3,Tone,0.833333333333333
4775,eYFP,Scop1,Tone,0.244897959183673
4775,eYFP,Mec1,Tone,0.88
4775,eYFP,Saline,Laser,0.509259259259259
4775,eYFP,Scop0.3,Laser,0.378378378378378
4775,eYFP,Scop1,Laser,0.326530612244898
4775,eYFP,Mec1,Laser,0.463917525773196
4775,eYFP,Saline,Catch,0.490566037735849
4775,eYFP,Scop0.3,Catch,0.363636363636364
4775,eYFP,Scop1,Catch,0.304347826086957
4775,eYFP,Mec1,Catch,0.5
4776,ChR2,Saline,Tone,0.852631578947368
4776,ChR2,Scop0.3,Tone,0.728155339805825
4776,ChR2,Scop1,Tone,0.0714285714285714
4776,ChR2,Mec1,Tone,0.728155339805825
4776,ChR2,Saline,Laser,0.961904761904762
4776,ChR2,Scop0.3,Laser,0.789473684210526
4776,ChR2,Scop1,Laser,0.0495049504950495
4776,ChR2,Mec1,Laser,0.789473684210526
4776,ChR2,Saline,Catch,0.18
4776,ChR2,Scop0.3,Catch,0.260869565217391
4776,ChR2,Scop1,Catch,0.0666666666666667
4776,ChR2,Mec1,Catch,0.260869565217391
4777,eYFP,Saline,Tone,0.98876404494382
4777,eYFP,Scop0.3,Tone,0.6
4777,eYFP,Scop1,Tone,0.467391304347826
4777,eYFP,Mec1,Tone,0.97752808988764
4777,eYFP,Saline,Laser,0.726415094339623
4777,eYFP,Scop0.3,Laser,0.463636363636364
4777,eYFP,Scop1,Laser,0.495412844036697
4777,eYFP,Mec1,Laser,0.70873786407767
4777,eYFP,Saline,Catch,0.695652173913043
