AnimalID,Event,Sig,Window,AUC
5862,StimOn,Signal,Event,0.0425452605602445
5862,LickBoutPreReinf,Signal,Event,0.184698101521359
5862,LickBoutNoReinf,Signal,Event,0.112215233161688
5862,StimOn,Signal,Baseline,0.0149063489572366
5862,LickBoutPreReinf,Signal,Baseline,-0.00265212886790816
5862,LickBoutNoReinf,Signal,Baseline,-0.0172645043670041
5862,StimOn,Reference,Event,0.00161122513806203
5862,LickBoutPreReinf,Reference,Event,0.0143771773412626
5862,LickBoutNoReinf,Reference,Event,0.0105787164009653
5862,StimOn,Reference,Baseline,1.71418149043154e-05
5862,LickBoutPreReinf,Reference,Baseline,0.00191251466671455
5862,LickBoutNoReinf,Reference,Baseline,-0.00156010206280154
5863,StimOn,Signal,Event,0.022378742893064
5863,LickBoutPreReinf,Signal,Event,0.199185342699359
5863,LickBoutNoReinf,Signal,Event,0.0978027970385207
5863,StimOn,Signal,Baseline,0.0260123521198739
5863,LickBoutPreReinf,Signal,Baseline,0.00669656667519232
5863,LickBoutNoReinf,Signal,Baseline,0.000327225229585601
5863,StimOn,Reference,Event,-0.000178315275069386
5863,LickBoutPreReinf,Reference,Event,0.0128330740857844
5863,LickBoutNoReinf,Reference,Event,-0.00711069315670041
5863,StimOn,Reference,Baseline,0.000953576816693264
5863,LickBoutPreReinf,Reference,Baseline,0.00184647854823777
5863,LickBoutNoReinf,Reference,Baseline,-0.00896671504553844
5864,StimOn,Signal,Event,0.0233571505793208
5864,LickBoutPreReinf,Signal,Event,0.0882108659483899
5864,LickBoutNoReinf,Signal,Event,0.094332595668841
5864,StimOn,Signal,Baseline,0.0211612479045624
5864,LickBoutPreReinf,Signal,Baseline,-0.0255572992282243
5864,LickBoutNoReinf,Signal,Baseline,-0.0221979001138004
5864,StimOn,Reference,Event,0.00147967184889078
5864,LickBoutPreReinf,Reference,Event,0.00879998302328843
5864,LickBoutNoReinf,Reference,Event,0.0077588904249648
5864,StimOn,Reference,Baseline,0.001218951546938
5864,LickBoutPreReinf,Reference,Baseline,-0.00276089307965237
5864,LickBoutNoReinf,Reference,Baseline,-0.00235680363881368
5865,StimOn,Signal,Event,0.000871720323262976
5865,LickBoutPreReinf,Signal,Event,0.0109051546077462
5865,LickBoutNoReinf,Signal,Event,0.00466340124244694
5865,StimOn,Signal,Baseline,5.90616485962597e-05
5865,LickBoutPreReinf,Signal,Baseline,-0.00108018859664709
5865,LickBoutNoReinf,Signal,Baseline,-0.00147575550619243
5865,StimOn,Reference,Event,-7.7707372959625e-07
5865,LickBoutPreReinf,Reference,Event,0.000424681230873489
5865,LickBoutNoReinf,Reference,Event,4.91913251913365e-05
5865,StimOn,Reference,Baseline,-1.30737527489891e-05
5865,LickBoutPreReinf,Reference,Baseline,0.000256917433279826
5865,LickBoutNoReinf,Reference,Baseline,1.32514689728764e-05
5866,StimOn,Signal,Event,0.0349470954775907
5866,LickBoutPreReinf,Signal,Event,0.319502246683199
5866,LickBoutNoReinf,Signal,Event,0.215296181538713
5866,StimOn,Signal,Baseline,0.0266562561942682
5866,LickBoutPreReinf,Signal,Baseline,-0.000590459048664679
5866,LickBoutNoReinf,Signal,Baseline,0.00255982143991393
5866,StimOn,Reference,Event,0.000817229867665284
5866,LickBoutPreReinf,Reference,Event,0.0155559992027299
5866,LickBoutNoReinf,Reference,Event,0.0082506646673911
5866,StimOn,Reference,Baseline,0.000319461944341432
5866,LickBoutPreReinf,Reference,Baseline,0.00185884409426164
5866,LickBoutNoReinf,Reference,Baseline,-0.000362591080991464
5867,StimOn,Signal,Event,0.0160328977748999
5867,LickBoutPreReinf,Signal,Event,0.184718710598105
5867,LickBoutNoReinf,Signal,Event,0.146088698334424
5867,StimOn,Signal,Baseline,0.00826516306449054
5867,LickBoutPreReinf,Signal,Baseline,-0.0440305472284994
5867,LickBoutNoReinf,Signal,Baseline,-0.030112751890592
5867,StimOn,Reference,Event,0.000762450211496788
5867,LickBoutPreReinf,Reference,Event,0.0225349691484675
5867,LickBoutNoReinf,Reference,Event,0.00993003329744145
5867,StimOn,Reference,Baseline,-2.92555784820063e-06
5867,LickBoutPreReinf,Reference,Baseline,-4.90467419169418e-05
5867,LickBoutNoReinf,Reference,Baseline,-0.000801756876795253
1964,StimOn,Signal,Event,0.0173033956805909
1964,LickBoutPreReinf,Signal,Event,0.0678821097960443
1964,LickBoutNoReinf,Signal,Event,0.0749001873466205
1964,StimOn,Signal,Baseline,0.00892031592635474
1964,LickBoutPreReinf,Signal,Baseline,-0.0217248149113086
1964,LickBoutNoReinf,Signal,Baseline,-0.0227542630810497
1964,StimOn,Reference,Event,0.000392642223832884
1964,LickBoutPreReinf,Reference,Event,-0.0122269736609364
1964,LickBoutNoReinf,Reference,Event,-0.0108830102249099
1964,StimOn,Reference,Baseline,-0.000693341738666408
1964,LickBoutPreReinf,Reference,Baseline,0.00359214593038593
1964,LickBoutNoReinf,Reference,Baseline,-0.00406896483748495
5873,StimOn,Signal,Event,0.035742586869225
5873,LickBoutPreReinf,Signal,Event,0.279163693196372
5873,LickBoutNoReinf,Signal,Event,0.163883553840752
5873,StimOn,Signal,Baseline,0.0252709690744989
5873,LickBoutPreReinf,Signal,Baseline,-0.0119363375039509
5873,LickBoutNoReinf,Signal,Baseline,-0.000996275137586079
5873,StimOn,Reference,Event,0.00286088455473494
5873,LickBoutPreReinf,Reference,Event,0.0308416250580831
5873,LickBoutNoReinf,Reference,Event,0.0183638798477172
5873,StimOn,Reference,Baseline,0.000909273487695955
5873,LickBoutPreReinf,Reference,Baseline,-0.00282824251623957
5873,LickBoutNoReinf,Reference,Baseline,-0.00330159555740931
5876,StimOn,Signal,Event,0.00832132295779205
5876,LickBoutPreReinf,Signal,Event,0.0983083093492966
5876,LickBoutNoReinf,Signal,Event,0.0707631001026236
5876,StimOn,Signal,Baseline,0.00322522680288666
5876,LickBoutPreReinf,Signal,Baseline,-0.00960879825941825
5876,LickBoutNoReinf,Signal,Baseline,-0.0071929643763725
5876,StimOn,Reference,Event,0.000683220091317782
5876,LickBoutPreReinf,Reference,Event,0.00811318773522394
5876,LickBoutNoReinf,Reference,Event,0.00433019337244135
5876,StimOn,Reference,Baseline,-0.000757671425755164
5876,LickBoutPreReinf,Reference,Baseline,-5.68095286596346e-05
5876,LickBoutNoReinf,Reference,Baseline,-0.000327431358958957
4223,StimOn,Signal,Event,0.0154960172164209
4223,LickBoutPreReinf,Signal,Event,0.0125471797137453
4223,LickBoutNoReinf,Signal,Event,0.0136895387665036
4223,StimOn,Signal,Baseline,0.014708191627367
4223,LickBoutPreReinf,Signal,Baseline,0.00685206915305251
4223,LickBoutNoReinf,Signal,Baseline,-0.00217867817611133
4223,StimOn,Reference,Event,-0.00216055963564111
4223,LickBoutPreReinf,Reference,Event,0.0117528535804117
4223,LickBoutNoReinf,Reference,Event,0.00709928860571527
4223,StimOn,Reference,Baseline,-0.000646006560141808
4223,LickBoutPreReinf,Reference,Baseline,-0.00824008516056328
4223,LickBoutNoReinf,Reference,Baseline,-0.00613849795507111
