AnimalID,Event,Sig,Window,AUC
5862,StimOn,Signal,Event,0.0538107525613134
5862,LickBoutPreReinf,Signal,Event,0.0536040965628894
5862,LickBoutNoReinf,Signal,Event,0.0246185420741864
5862,StimOn,Signal,Baseline,0.0147783730888377
5862,LickBoutPreReinf,Signal,Baseline,0.0189930183950407
5862,LickBoutNoReinf,Signal,Baseline,0.00431155338982248
5862,StimOn,Reference,Event,0.00307046710754527
5862,LickBoutPreReinf,Reference,Event,-0.000317023198375269
5862,LickBoutNoReinf,Reference,Event,-0.00142346537108872
5862,StimOn,Reference,Baseline,0.00159348162238429
5862,LickBoutPreReinf,Reference,Baseline,0.0021955436411223
5862,LickBoutNoReinf,Reference,Baseline,0.000165432400044557
5863,StimOn,Signal,Event,0.041113963498116
5863,LickBoutPreReinf,Signal,Event,0.0304553024876668
5863,LickBoutNoReinf,Signal,Event,0.0379467378406041
5863,StimOn,Signal,Baseline,0.00325859616825769
5863,LickBoutPreReinf,Signal,Baseline,-0.000131307737061603
5863,LickBoutNoReinf,Signal,Baseline,0.00652356246999901
5863,StimOn,Reference,Event,-0.000209666587336271
5863,LickBoutPreReinf,Reference,Event,-0.0160081304429821
5863,LickBoutNoReinf,Reference,Event,-0.00366293960255205
5863,StimOn,Reference,Baseline,-0.000998006319103986
5863,LickBoutPreReinf,Reference,Baseline,0.00113285248046552
5863,LickBoutNoReinf,Reference,Baseline,0.00124704405813701
5864,StimOn,Signal,Event,0.0265929833267911
5864,LickBoutPreReinf,Signal,Event,0.108814823794149
5864,LickBoutNoReinf,Signal,Event,0.0638484135622095
5864,StimOn,Signal,Baseline,0.0189408309889938
5864,LickBoutPreReinf,Signal,Baseline,0.0731629434611606
5864,LickBoutNoReinf,Signal,Baseline,0.0255404892679574
5864,StimOn,Reference,Event,0.00348328242899764
5864,LickBoutPreReinf,Reference,Event,0.0234630211794997
5864,LickBoutNoReinf,Reference,Event,0.0138913940496979
5864,StimOn,Reference,Baseline,0.00285870683757454
5864,LickBoutPreReinf,Reference,Baseline,0.0145453291975436
5864,LickBoutNoReinf,Reference,Baseline,0.00646401178377375
5865,StimOn,Signal,Event,0.00283301219365448
5865,LickBoutPreReinf,Signal,Event,0.0102239882587295
5865,LickBoutNoReinf,Signal,Event,0.00491680960246175
5865,StimOn,Signal,Baseline,0.000341881355745886
5865,LickBoutPreReinf,Signal,Baseline,-0.000707959834913523
5865,LickBoutNoReinf,Signal,Baseline,-0.00136496818649541
5865,StimOn,Reference,Event,0.000281233680163272
5865,LickBoutPreReinf,Reference,Event,0.000598523472163314
5865,LickBoutNoReinf,Reference,Event,0.000300020696458466
5865,StimOn,Reference,Baseline,3.57686182787233e-05
5865,LickBoutPreReinf,Reference,Baseline,7.5251310272385e-05
5865,LickBoutNoReinf,Reference,Baseline,-0.000150922422038146
5866,StimOn,Signal,Event,0.172514472963042
5866,LickBoutPreReinf,Signal,Event,0.206978772037171
5866,LickBoutNoReinf,Signal,Event,0.0572466967859262
5866,StimOn,Signal,Baseline,0.0203706623483519
5866,LickBoutPreReinf,Signal,Baseline,0.0101116224787614
5866,LickBoutNoReinf,Signal,Baseline,0.0160168298863194
5866,StimOn,Reference,Event,0.00811229550454188
5866,LickBoutPreReinf,Reference,Event,0.0079058956734054
5866,LickBoutNoReinf,Reference,Event,0.00227950949535262
5866,StimOn,Reference,Baseline,0.000311973504857657
5866,LickBoutPreReinf,Reference,Baseline,0.000482896225503269
