Day,name_area,Subj,Virus,Sig,Sign
1,B,1,ChR2,0,-1
1,B,1,ChR2,0,1
1,B,1,ChR2,0,1
1,B,1,ChR2,0,0
1,P,1,ChR2,0,-1
1,P,1,ChR2,0,1
1,P,1,ChR2,0,1
1,P,1,ChR2,0,-1
1,P,1,ChR2,0,-1
1,P,1,ChR2,0,1
1,P,1,ChR2,0,-1
1,P,1,ChR2,0,-1
1,P,1,ChR2,0,1
1,P,1,ChR2,0,1
1,P,1,ChR2,0,-1
1,P,1,ChR2,0,-1
1,P,1,ChR2,0,-1
1,P,1,ChR2,0,1
1,P,1,ChR2,0,-1
1,P,1,ChR2,0,-1
1,P,1,ChR2,0,-1
1,P,1,ChR2,0,-1
1,P,1,ChR2,0,1
1,P,1,ChR2,1,1
1,P,1,ChR2,0,-1
1,P,1,ChR2,0,1
1,P,1,ChR2,1,1
1,P,1,ChR2,0,-1
1,P,1,ChR2,0,-1
1,P,1,ChR2,0,1
1,P,1,ChR2,0,1
1,P,1,ChR2,0,1
1,P,1,ChR2,0,-1
1,P,1,ChR2,0,-1
1,P,1,ChR2,0,1
1,P,1,ChR2,1,1
2,B,1,ChR2,0,-1
2,B,1,ChR2,0,-1
2,B,1,ChR2,0,-1
2,B,1,ChR2,0,-1
2,P,1,ChR2,0,-1
2,P,1,ChR2,0,-1
2,P,1,ChR2,0,1
2,P,1,ChR2,0,-1
2,P,1,ChR2,0,1
2,P,1,ChR2,0,-1
2,P,1,ChR2,0,1
2,P,1,ChR2,0,1
2,P,1,ChR2,0,0
2,P,1,ChR2,0,1
2,P,1,ChR2,0,1
2,P,1,ChR2,0,NaN
2,P,1,ChR2,0,-1
2,P,1,ChR2,0,1
2,P,1,ChR2,1,1
2,P,1,ChR2,0,1
2,P,1,ChR2,0,1
2,P,1,ChR2,0,1
2,P,1,ChR2,0,-1
2,P,1,ChR2,0,1
2,P,1,ChR2,0,-1
2,P,1,ChR2,0,1
2,P,1,ChR2,0,1
2,P,1,ChR2,0,-1
2,P,1,ChR2,0,1
2,P,1,ChR2,1,1
2,P,1,ChR2,0,1
2,P,1,ChR2,0,-1
2,P,1,ChR2,1,1
2,P,1,ChR2,0,1
2,P,1,ChR2,0,1
2,P,1,ChR2,0,1
2,P,1,ChR2,0,1
2,P,1,ChR2,0,1
1,B,2,ChR2,0,-1
1,B,2,ChR2,1,1
1,B,2,ChR2,1,-1
1,B,2,ChR2,0,-1
1,B,2,ChR2,0,1
1,B,2,ChR2,1,-1
1,B,2,ChR2,0,-1
1,B,2,ChR2,0,1
1,B,2,ChR2,1,1
1,B,2,ChR2,1,-1
1,B,2,ChR2,1,-1
1,B,2,ChR2,1,-1
1,B,2,ChR2,0,-1
1,B,2,ChR2,0,-1
1,B,2,ChR2,0,-1
1,B,2,ChR2,0,-1
1,P,2,ChR2,0,1
1,P,2,ChR2,1,1
1,P,2,ChR2,1,1
1,P,2,ChR2,0,-1
1,P,2,ChR2,0,1
1,P,2,ChR2,1,-1
1,P,2,ChR2,0,-1
1,P,2,ChR2,0,-1
1,P,2,ChR2,0,1
1,P,2,ChR2,1,1
1,P,2,ChR2,0,1
1,P,2,ChR2,0,1
1,P,2,ChR2,0,-1
1,P,2,ChR2,1,1
1,P,2,ChR2,0,1
1,P,2,ChR2,1,-1
1,P,2,ChR2,0,-1
1,P,2,ChR2,0,-1
1,P,2,ChR2,0,1
1,P,2,ChR2,0,-1
1,P,2,ChR2,1,-1
1,P,2,ChR2,0,1
1,P,2,ChR2,0,1
1,P,2,ChR2,0,-1
1,P,2,ChR2,0,1
1,P,2,ChR2,0,0
1,P,2,ChR2,0,-1
1,P,2,ChR2,0,-1
1,P,2,ChR2,0,-1
2,B,2,ChR2,0,-1
2,B,2,ChR2,1,-1
2,B,2,ChR2,1,-1
2,B,2,ChR2,0,-1
2,B,2,ChR2,1,-1
2,B,2,ChR2,0,1
2,B,2,ChR2,0,-1
2,B,2,ChR2,1,-1
2,B,2,ChR2,0,0
2,B,2,ChR2,0,1
2,B,2,ChR2,1,1
2,B,2,ChR2,0,0
2,B,2,ChR2,0,1
2,B,2,ChR2,0,NaN
