AnimalID,Virus,Session,Laser,resp_rate_opto,med_rt_opto,resp_rate_opto_prev
3498,ChR2,1,LaserOff,0.368909512761021,1.392,0.366589327146172
3498,ChR2,1,LaserOn,0.285714285714286,0.3855,0.323529411764706
3498,ChR2,2,LaserOff,0.419512195121951,1.238,0.420537897310513
3498,ChR2,2,LaserOn,0.63265306122449,0.214,0.63265306122449
3498,ChR2,3,LaserOff,0.413366336633663,1.4805,0.471464019851117
3498,ChR2,3,LaserOn,0.924528301886792,0.152,0.490566037735849
3620,ChR2,1,LaserOff,0.189376443418014,1.1055,0.184757505773672
3620,ChR2,1,LaserOn,0,NaN,0.0833333333333333
3620,ChR2,2,LaserOff,0.345,1.126,0.416040100250627
3620,ChR2,2,LaserOn,0.963636363636364,0.135,0.454545454545455
3620,ChR2,3,LaserOff,0.37037037037037,1.165,0.425742574257426
3620,ChR2,3,LaserOn,1,0.111,0.551020408163265
3621,ChR2,1,LaserOff,0.0411899313501144,0.829,0.0412844036697248
3621,ChR2,1,LaserOn,0.0833333333333333,1.719,0.0833333333333333
3621,ChR2,2,LaserOff,0.233250620347395,1.055,0.256218905472637
3621,ChR2,2,LaserOn,0.52,0.431,0.34
3621,ChR2,3,LaserOff,0.218225419664269,1.214,0.266187050359712
3621,ChR2,3,LaserOn,0.833333333333333,0.114,0.425531914893617
3635,eYFP,1,LaserOff,0.127659574468085,0.3465,0.132196162046908
3635,eYFP,1,LaserOn,0.272727272727273,0.21,0.181818181818182
3635,eYFP,2,LaserOff,0.0161290322580645,0.283,0.0161662817551963
3635,eYFP,2,LaserOn,0,NaN,0
3635,eYFP,3,LaserOff,0.0712468193384224,0.654,0.0661577608142494
3635,eYFP,3,LaserOn,0.0350877192982456,1.3,0.0714285714285714
3504,eYFP,1,LaserOff,0.647196261682243,0.4475,0.655737704918033
3504,eYFP,1,LaserOn,0.571428571428571,0.4305,0.464285714285714
3504,eYFP,2,LaserOff,0.260975609756098,1.202,0.259168704156479
3504,eYFP,2,LaserOn,0.36734693877551,0.5965,0.387755102040816
3504,eYFP,3,LaserOff,0.208651399491094,1.234,0.204081632653061
3504,eYFP,3,LaserOn,0.192982456140351,0.494,0.228070175438596
4648,ChR2,1,LaserOff,0.531772575250836,0.922,0.587248322147651
4648,ChR2,1,LaserOn,0.854166666666667,0.3805,0.520833333333333
4648,ChR2,2,LaserOff,0.51027397260274,1.2825,0.560137457044674
4648,ChR2,2,LaserOn,0.878048780487805,0.1935,0.536585365853659
4648,ChR2,3,LaserOff,0.321951219512195,1.253,0.386308068459658
4648,ChR2,3,LaserOn,0.957446808510638,0.228,0.404255319148936
4770,ChR2,1,LaserOff,0.81592039800995,0.535,0.832917705735661
4770,ChR2,1,LaserOn,0.88135593220339,0.392,0.779661016949153
4770,ChR2,2,LaserOff,0.618453865336658,0.713,0.64
4770,ChR2,2,LaserOn,0.862068965517241,0.5085,0.724137931034483
4770,ChR2,3,LaserOff,0.666666666666667,0.821,0.670702179176755
4770,ChR2,3,LaserOn,0.804878048780488,0.491,0.780487804878049
4774,ChR2,1,LaserOff,0.841584158415842,0.4545,0.841191066997519
4774,ChR2,1,LaserOn,0.771929824561403,0.2075,0.789473684210526
4774,ChR2,2,LaserOff,0.644607843137255,0.5615,0.656019656019656
4774,ChR2,2,LaserOn,0.911111111111111,0.476,0.822222222222222
4774,ChR2,3,LaserOff,0.379396984924623,0.9555,0.439698492462312
4774,ChR2,3,LaserOn,0.918367346938776,0.557,0.4375
4775,eYFP,1,LaserOff,0.977215189873418,0.477,0.987309644670051
4775,eYFP,1,LaserOn,1,0.785,0.947368421052632
4775,eYFP,2,LaserOff,0.916666666666667,0.556,0.908860759493671
4775,eYFP,2,LaserOn,0.887096774193548,0.806,0.951612903225806
4775,eYFP,3,LaserOff,0.750617283950617,0.501,0.747524752475248
4775,eYFP,3,LaserOn,0.773584905660377,0.511,0.811320754716981
4776,ChR2,1,LaserOff,0.14320987654321,1.3205,0.160891089108911
4776,ChR2,1,LaserOn,0.214285714285714,1.2365,0.0892857142857143
4776,ChR2,2,LaserOff,0.293556085918854,0.624,0.299043062200957
4776,ChR2,2,LaserOn,0.32,0.541,0.28
4776,ChR2,3,LaserOff,0.404938271604938,0.913,0.433168316831683
4776,ChR2,3,LaserOn,0.954545454545455,0.4025,0.704545454545455
4777,eYFP,1,LaserOff,0.576530612244898,0.399,0.608695652173913
4777,eYFP,1,LaserOn,0.65625,0.6535,0.46875
