AnimalID,Virus,ts_sec,VelocitycenterpointMean,CentercenterpointCumulativeDuration
3498,ChR2,300,8.38038,35.6023
3498,ChR2,600,6.69146,29.4962
3498,ChR2,900,4.3137,17.9179
3635,eYFP,300,7.88418,39.9066
3635,eYFP,600,8.13485,82.3156
3635,eYFP,900,7.98798,33.033
3620,ChR2,300,3.73973,237.538
3620,ChR2,600,4.8281,214.147
3620,ChR2,900,4.8653,44.6446
3621,ChR2,300,8.00461,57.9913
3621,ChR2,600,7.51493,43.677
3621,ChR2,900,6.96584,24.3911
3625,eYFP,300,9.73294,50.6507
3625,eYFP,600,6.91017,83.5836
3625,eYFP,900,6.37795,48.7487
3504,eYFP,300,8.87456,60.0267
3504,eYFP,600,6.42705,30.8308
3504,eYFP,900,4.96287,44.6113
4202,ChR2,300,6.75513,33.4668
4202,ChR2,600,3.41191,15.8158
4202,ChR2,900,1.15569,0.667334
4336,ChR2,300,10.0625932405625,37.1371
4336,ChR2,600,9.21481307966532,57.1238
4336,ChR2,900,8.49942243922436,64.7981
4337,eYFP,300,8.82647556163942,58.692
4337,eYFP,600,6.71199642776098,92.993
4337,eYFP,900,5.61094803417052,62.963
