Day,name_area,fr,Subj,Virus,code_sig,log_fr
1,P,0.391066511,1,ChR2,1,-0.407749374
1,P,0.611246815,1,ChR2,1,-0.213783391
1,P,0.494963302,1,ChR2,1,-0.305427
2,P,1.725172113,1,ChR2,1,0.236832429
2,P,1.236624621,1,ChR2,1,0.092237889
2,P,8.646680372,1,ChR2,1,0.936849405
1,B,0.159731941,2,ChR2,1,-0.796608232
1,B,0.69876304,2,ChR2,-1,-0.155670075
1,B,6.043106155,2,ChR2,-1,0.781260223
1,B,0.632764472,2,ChR2,1,-0.198757913
1,B,0.350793941,2,ChR2,-1,-0.454947917
1,B,0.112993656,2,ChR2,-1,-0.94694594
1,B,0.379812766,2,ChR2,-1,-0.420430442
1,P,7.847666199,2,ChR2,1,0.894740522
1,P,6.273715935,2,ChR2,1,0.797524851
1,P,35.92787368,2,ChR2,-1,1.555431515
1,P,9.18253216,2,ChR2,1,0.962962458
1,P,9.608312799,2,ChR2,1,0.982647133
1,P,0.805850209,2,ChR2,-1,-0.093745677
1,P,0.51386433,2,ChR2,-1,-0.289151528
2,B,0.161109481,2,ChR2,-1,-0.792878901
2,B,0.725877883,2,ChR2,-1,-0.139136436
2,B,1.394393709,2,ChR2,-1,0.144385415
2,B,7.782827252,2,ChR2,-1,0.891137391
2,B,0.872823893,2,ChR2,1,-0.059073374
2,B,0.487931572,2,ChR2,-1,-0.31164108
2,B,0.440838031,2,ChR2,-1,-0.355720946
2,P,7.31684906,2,ChR2,1,0.864324096
2,P,1.330304003,2,ChR2,1,0.123950898
2,P,0.412157003,2,ChR2,1,-0.384937317
2,P,1.448568985,2,ChR2,1,0.160939182
2,P,4.46574237,2,ChR2,1,0.649893665
2,P,9.535202687,2,ChR2,1,0.979329929
2,P,2.352906601,2,ChR2,1,0.371604688
2,P,3.25476561,2,ChR2,1,0.512519719
1,P,6.716276222,3,ChR2,1,0.827128549
1,P,14.77326845,3,ChR2,1,1.16947659
2,P,3.723391065,3,ChR2,1,0.570938652
2,P,0.432759246,3,ChR2,1,-0.363753645
2,P,8.286244436,3,ChR2,1,0.91835774
2,P,6.45966811,3,ChR2,1,0.810210205
2,P,16.2035484,3,ChR2,1,1.209610131
2,P,3.803825375,3,ChR2,1,0.580220571
1,B,0.290264825,4,ChR2,-1,-0.53720559
1,B,4.086731385,4,ChR2,-1,0.611376093
1,B,0.186383457,4,ChR2,1,-0.729592638
1,B,0.148558579,4,ChR2,1,-0.828102264
1,B,0.222563775,4,ChR2,1,-0.652545521
2,B,0.379723606,4,ChR2,-1,-0.420532404
2,B,1.336759554,4,ChR2,-1,0.126053297
2,B,4.527707267,4,ChR2,-1,0.65587834
2,B,14.08123307,4,ChR2,-1,1.148640687
1,P,10.86454121,5,ChR2,1,1.036011392
1,P,10.22508536,5,ChR2,1,1.009666942
1,P,11.09347261,5,ChR2,1,1.045067516
1,P,0.985310416,5,ChR2,1,-0.006426926
